course_id;category;sub-category;topic;course_name;level;price;duration
CAMP-001-009-059;Marketing;Digital Marketing;Social Media;Perkenalan Marketing dan Iklan Facebook ;Basic;350969;0.1083
CAMP-001-003-025;Marketing;Digital Marketing;Social Media;Manajemen dan Marketing Social Media ;Basic;313526;0.1069
CAMP-001-003-027;Marketing;Digital Marketing;Social Media;Social Media Marketing;Basic;328520;0.0451
CAMP-001-000-040;Marketing;Digital Marketing;Social Media;Belajar Dasar-dasar Digital dan Social Media Marketing;Basic;288732;0.1583
CAMP-001-001-074;Marketing;Digital Marketing;Internet;Apa itu Online dan Digital Marketing?;Basic;297747;0.1188
CAMP-001-000-001;Marketing;Digital Marketing;Internet;Strategi Online Marketing: Bagaimana cara mendapatkan lebih banyak trafik?;Intermediate;344433;0.0660
CAMP-001-008-093;Marketing;Digital Marketing;Copywriting;Fundamental Copywriting untuk Pemula;Basic;331790;0.0688
CAMP-001-004-029;Marketing;Digital Marketing;Copywriting;Tingkatkan Sales dengan Copywriting Menarik;Intermediate;439816;0.0438
CAMP-001-000-022;Marketing;Digital Marketing;Google Analytic;Kuasai Google Analytics bagi Pemula;Basic;384020;0.1229
CAMP-001-003-016;Marketing;Digital Marketing;Google Analytic;Bagaimana Cara Meningkatkan Kinerja Online Marketing?;Basic;409402;0.1465
CAMP-001-008-023;Marketing;SEO ;SEO;SEO 101;Basic;367606;0.1382
CAMP-001-001-046;Marketing;SEO ;SEO;Kenali Strategi SEO & Social Media Marketing;Basic;305167;0.1326
CAMP-001-005-082;Marketing;SEO ;Keyword research;Kata kunci untuk Mencapai Halaman Pertama Google;Basic;411520;0.0625
CAMP-001-009-071;Marketing;SEO ;Keyword research;Menempati peringkat #1 dengan Mastering Keyword Reasearch ;Intermediate;289730;0.0667
CAMP-001-006-006;Marketing;Marketing Fundamental;Copywriting;Tingkatkan Sales dengan Copywriting Menarik;Intermediate;220317;0.1194
CAMP-001-005-077;Marketing;Marketing Fundamental;Copywriting;Fundamental Copywriting untuk Pemula;Basic;291729;0.0743
CAMP-001-002-047;Marketing;Marketing Fundamental;Marketing analytics;Menjadi Ahli Pemasaran dengan Data-Driven;Basic;316390;0.0451
CAMP-001-004-028;Marketing;Marketing Fundamental;Marketing analytics;Analisis Marketing dan Manajemen Bisnis Retail;Intermediate;405116;0.0917
